,start_date,"Balunie Drive, Dundee","Brington Place Sheltered Housing, Dundee","DCC Environment, 34 Harefield Road","Dock Street, Dundee","Dundee House, Dundee","Dundee Ice Arena, Dundee","Earn Cresent, Dundee","Gellatly Street Car Park, Dundee","Greenmarket Multi Car Park, Dundee","Housing Office East, Dundee","Housing Office West, Dundee","Janet Brougham House, Dundee","Marchbanks, Dundee","Menziehill House, Dundee","Mitchell Street, Dundee","Nethergate, Dundee","Olympia Multi-Storey Car Park, Dundee","Public Works Dept, Clepington Rd. Dundee","Queen Street Car Park, Broughty Ferry, Dundee",Sinclair Street,"Social Work Building, Jack Martin Way, Dundee",South Tay Street,Trades Lane,"Turriff House Rannoch Road, Dundee","University of Dundee, Nethergate, Dundee","Whitfield Centre, Dundee"
0,2017-01-09,2.355591267620083,14.079463042182656,1.4817154582129002,7.680032520325204,5.72,245.582,0.06337391544498401,2.405266513946609,52.080000000000005,1.5430321635171615,0.0031807281110268746,11.940801468761418,3.7572806055675425,,,8.055947447515825,18.794198474440073,303.4522496262436,199.3288941179131,2.5572180732551573,70.9482947786474,19.611588363266605,3.8244802627004053,,,23.659233680327528
1,2017-01-10,19.523859557991,16.666531465752914,18.79766639399541,7.350852140764534,,339.499,0.5014199903339394,40.12685596241612,168.79,0.05786656382568453,31.48053285473365,21.800544631407767,0.2256446535318878,16.92555058546113,,0.7783961018261305,30.989018962396425,314.24687265581485,256.47957620592604,27.033081296334974,31.063785013185935,35.06841448620783,30.75366365119076,14.157928422409709,,34.60287290918788
2,2017-01-11,17.322407735953497,11.31997253853768,24.85221214337819,26.533385292815293,71.64332292300931,192.94765522025668,0.5890219479195838,99.81818252444945,91.472,37.51620691668144,17.726686914264974,21.525739108186546,17.65232749206993,2.8194580713391035,,25.708894072099923,26.61930510009383,327.8674526551442,207.49794901179624,23.14634581549623,94.1790262275464,68.23849594590422,11.047513458057752,0.5626703428326064,16.740241963749124,46.50999603837732
3,2017-01-12,16.692931788135933,12.504864557335372,1.5608153991358917,0.1847012230215016,60.02856127388981,99.47470735596161,1.2061508223078383,51.00708170617116,49.040000000000006,20.417553160990348,0.38900243064022644,20.175354660204267,23.42152996162646,0.4271873861246119,,0.95992230122776,0.4690189623964234,152.07943999249946,111.29093809124534,1.880730172092244,37.85046856995189,8.463856068594138,25.405260125676122,0.5626703428326064,16.26074914906271,11.700762773054114
4,2017-01-13,2.342314007239354,0.833990205701862,1.5608153991358917,0.1847012230215016,0.8159602779675018,0.7945057232049948,1.2061508223078383,2.0925796782007637,,0.287115110896081,0.38900243064022644,1.194546562604738,0.779783988137736,0.4271873861246119,,0.95992230122776,0.4690189623964234,2.155775992075248,1.0265838993899048,1.880730172092244,0.3494352938483156,0.27241448620783426,0.20595348136043098,0.5626703428326064,0.4462168816208524,0.9304939915647085
5,2017-01-14,2.342314007239354,0.833990205701862,1.5608153991358917,0.1847012230215016,0.8159602779675018,0.7945057232049948,1.2061508223078383,2.0925796782007637,,0.287115110896081,0.38900243064022644,1.194546562604738,0.779783988137736,0.4271873861246119,,0.95992230122776,0.4690189623964234,2.155775992075248,1.0265838993899048,1.880730172092244,0.3494352938483156,0.27241448620783426,0.20595348136043098,0.5626703428326064,0.4462168816208524,0.9304939915647085
6,2017-01-15,2.342314007239354,0.833990205701862,1.5608153991358917,0.1847012230215016,0.8159602779675018,0.7945057232049948,1.2061508223078383,2.0925796782007637,,0.287115110896081,0.38900243064022644,1.194546562604738,0.779783988137736,0.4271873861246119,,0.95992230122776,0.4690189623964234,2.155775992075248,1.0265838993899048,1.880730172092244,0.3494352938483156,0.27241448620783426,0.20595348136043098,0.5626703428326064,0.4462168816208524,0.9304939915647085
7,2017-01-16,2.342314007239354,0.833990205701862,1.5608153991358917,0.1847012230215016,0.8159602779675018,0.7945057232049948,1.2061508223078383,2.0925796782007637,,0.287115110896081,0.38900243064022644,1.194546562604738,0.779783988137736,0.4271873861246119,,0.95992230122776,0.4690189623964234,2.155775992075248,1.0265838993899048,1.880730172092244,0.3494352938483156,0.27241448620783426,0.20595348136043098,0.5626703428326064,0.4462168816208524,0.9304939915647085
8,2017-01-17,2.342314007239354,0.833990205701862,1.5608153991358917,0.1847012230215016,0.8159602779675018,0.7945057232049948,1.2061508223078383,2.0925796782007637,,0.287115110896081,0.38900243064022644,1.194546562604738,0.779783988137736,0.4271873861246119,,0.95992230122776,0.4690189623964234,2.155775992075248,1.0265838993899048,1.880730172092244,0.3494352938483156,0.27241448620783426,0.20595348136043098,0.5626703428326064,0.4462168816208524,0.9304939915647085
9,2017-01-18,2.342314007239354,0.833990205701862,1.5608153991358917,0.1847012230215016,0.8159602779675018,0.7945057232049948,1.2061508223078383,2.0925796782007637,,0.287115110896081,0.38900243064022644,1.194546562604738,0.779783988137736,0.4271873861246119,,0.95992230122776,0.4690189623964234,2.155775992075248,1.0265838993899048,1.880730172092244,0.3494352938483156,0.27241448620783426,0.20595348136043098,0.5626703428326064,0.4462168816208524,0.9304939915647085
