,start_date,"Broxden Park & Ride, Perth","Canal Street Car Park 3rd floor, Perth","Crown Inn Wynd Car Park, Auchterarder","Friarton Depot, Perth","King Street Car Park, Crieff","Kinross Park and Ride, Kinross","Leslie Street Car Park, Blairgowrie","Moness Terrace Car Park, Aberfeldy","Rie-Achan Road Car Park, Pitlochry","South Inch Car Park, Perth"
0,2016-01-09,111.82,,,10.260276525726725,,42.435,13.234,,40.436,23.945999999999998
1,2016-01-10,134.36,,0.38,0.14400095934154294,25.172,83.798,,42.324,61.27038541466888,51.038020084126956
2,2016-01-11,90.67,,,17.30325389572682,100.149,68.37,35.475,,0.18740461995330174,35.115
3,2016-01-12,105.014,,,46.195358341016494,4.03,134.09,61.89,6.8,23.740019315490905,34.34094497735574
4,2016-01-13,,,,2.0792649368772844,,,,,1.085667420634777,
5,2016-01-14,,,,2.0792649368772844,,,,,1.085667420634777,
6,2016-01-15,,,,2.0792649368772844,,,,,1.085667420634777,
7,2016-01-16,,,,2.0792649368772844,,,,,1.085667420634777,
8,2016-01-17,,,,2.0792649368772844,,,,,1.085667420634777,
9,2016-01-18,,,,2.0792649368772844,,,,,1.085667420634777,
10,2016-01-19,,,,2.0792649368772844,,,,,1.085667420634777,
11,2016-01-20,,,,2.0792649368772844,,,,,1.085667420634777,
12,2016-01-21,,,,2.0792649368772844,,,,,1.085667420634777,
13,2016-01-22,,,,2.0792649368772844,,,,,1.085667420634777,
14,2016-01-23,,,,2.0792649368772844,,,,,1.085667420634777,
15,2016-01-24,,,,2.0792649368772844,,,,,1.085667420634777,
16,2016-01-25,,,,2.0792649368772844,,,,,1.085667420634777,
17,2016-01-26,,,,2.0792649368772844,,,,,1.085667420634777,
18,2016-01-27,,,,2.0792649368772844,,,,,1.085667420634777,
19,2016-01-28,,,,2.0792649368772844,,,,,1.085667420634777,
20,2016-01-29,,,,2.0792649368772844,,,,,1.085667420634777,
21,2016-01-30,,,,2.0792649368772844,,,,,1.085667420634777,
22,2016-01-31,,,,2.0792649368772844,,,,,1.085667420634777,
23,2016-02-01,,,,2.0792649368772844,,,,,1.085667420634777,
24,2016-02-02,,,,2.0792649368772844,,,,,1.085667420634777,
25,2016-02-03,,,,2.0792649368772844,,,,,1.085667420634777,
26,2016-02-04,,,,2.0792649368772844,,,,,1.085667420634777,
27,2016-02-05,,,,2.0792649368772844,,,,,1.085667420634777,
28,2016-02-06,,,,2.0792649368772844,,,,,1.085667420634777,
29,2016-02-07,,,,2.0792649368772844,,,,,1.085667420634777,
30,2016-02-08,,,,2.0792649368772844,,,,,1.085667420634777,
31,2016-02-09,59.211,,5.82,2.0792649368772844,,56.629999999999995,9.54,,1.218570335130048,36.482
32,2016-02-10,80.61500000000001,,19.23,20.669264936877283,24.29,15.033999999999999,48.829,27.386,38.62222213980097,33.375
33,2016-02-11,177.17000000000002,,,28.30296645081168,21.76,40.42,40.86,29.471,20.798155604685167,11.370000000000001
34,2016-02-12,89.64,,,37.78831181193776,17.27,65.44,34.387,26.775000000000002,42.93363311529263,17.395
35,2016-02-13,,,,1.2530095649100124,,,,,1.9245184256937438,
36,2016-02-14,,,,1.2530095649100124,,,,,1.9245184256937438,
