start_date,BRYANT,CAMBRIDGE,HAMILTON,HIGH,MPL,RINCONADA LIB,SHERMAN,TED THOMPSON,WEBSTER
2011-07-29,,,6.249457,,,,,,
2011-07-30,,,28.978652999999998,,,,,,
2011-07-31,,,37.209163000000004,,,,,,
2011-08-01,,,5.041244,,,,,,
2011-08-02,,,16.210423000000002,,,,,,
2011-08-03,,,26.878111031746034,,,,,,
2011-08-04,,,29.736455968253967,,,,,,
2011-08-05,,,31.489418,,,,,,
2011-08-06,,,69.274091,,,,,,
2011-08-07,,,13.397158999999998,,,,,,
2011-08-08,,,18.101343,,,,,,
2011-08-09,,,17.349076,,,,,,
2011-08-10,,,11.151858,,,,,,
2011-08-11,,,17.816884,,,,,,
2011-08-12,,,13.36458,,,,,,
2011-08-13,,,21.485197999999997,,,,,,
2011-08-14,,,22.584837000000004,,,,,,
2011-08-15,,,17.125500603603605,,,,,,
2011-08-16,,,29.292041396396396,,,,,,
2011-08-17,,,24.79735332857143,,,,,,
2011-08-18,,,27.02665167142857,,,,,,
2011-08-19,,,31.553527000000003,,,,,,
2011-08-20,,,12.648807,,,,,,
2011-08-21,,,38.561442,,,,,,
2011-08-22,,,9.631848,,,,,,
2011-08-23,,,43.560528310077515,,,,,,
2011-08-24,,,47.64457468992248,,,,,,
2011-08-25,,,14.774353,,,,,,
2011-08-26,,,17.175258,,,,,,
2011-08-27,,,27.324761,,,,,,
2011-08-28,,,28.163386051948052,,,,,,
2011-08-29,,,27.25777394805195,,,,,,
2011-08-30,,,26.982022,,,,,,
2011-08-31,,,43.908577,,,,,,
2011-09-01,,,20.482843,,,,,,
2011-09-02,,,43.729961,6.403768,,,,,
2011-09-03,,,45.009934,,,,,,
2011-09-04,,,21.46702178701443,10.786432000000001,,,,,
2011-09-05,,,30.651383212985564,,,,,,
2011-09-06,,,28.615484000000002,,,,,,
2011-09-07,,,22.872207,4.253296,,,,,
2011-09-08,,,6.710543,19.751828,,,,,
2011-09-09,,,,9.906827,,,,,
2011-09-10,,,4.880477,26.134719,,,,,
2011-09-11,,,2.450984,2.936031,,,,,
2011-09-12,,,44.4707,,,,,,
2011-09-13,,,44.556933,11.717298,,,,,
2011-09-14,,,21.949843830508474,17.298585,,,,,
2011-09-15,,,36.92823516949153,6.171631,,,,,
2011-09-16,,,68.67596331325302,,,,,,
2011-09-17,,,52.26793468674699,,,,,,
2011-09-18,,,28.127181196560198,,,,,,
2011-09-19,,,78.0014368034398,,,,,,
2011-09-20,,,50.25328,8.387703,,,,,
2011-09-21,,,48.773034,,,,,,
2011-09-22,,,32.081033000000005,6.319664,,,,,
2011-09-23,,,36.91608590697675,13.158178,,,,,
2011-09-24,,,19.138915093023257,10.831704,,,,,
2011-09-25,,,24.879452,8.832977,,,,,
2011-09-26,,,41.908759,2.54925,,,,,
2011-09-27,,,44.664097,7.784872999999999,,,,,
2011-09-28,,,23.45881,0.614354,,,,,
2011-09-29,,,66.9721259495549,3.8259420000000004,,,,,
2011-09-30,,,48.72425153139676,8.821672,,,,,
2011-10-01,,,43.03105351904834,4.690233,,,,,
2011-10-02,,,15.823211,2.397252,,,,,
2011-10-03,,,22.906943,,,,,,
2011-10-04,,,41.361066287128715,11.581711000000002,,,,,
2011-10-05,,,52.50866971287129,3.8725889999999996,,,,,
2011-10-06,,,57.436766865853656,29.911123,,,,,
2011-10-07,,,60.94009913414634,8.964861,,,,,
2011-10-08,,,32.243818,2.275877,,,,,
2011-10-09,,,19.11414,,,,,,
2011-10-10,16.764479,,41.65338,,,,,,
2011-10-11,13.397377,,34.563077,18.926015,,,,,
2011-10-12,16.016336000000003,,38.610665,14.854501,,,,,
2011-10-13,26.342278999999998,,51.220678,,,,,,
2011-10-14,11.908109,,32.856449,4.441539,,,,,
2011-10-15,9.564022,,18.096426,3.559538,,,,,
2011-10-16,,,29.420055819727892,,,,,,
2011-10-17,10.293681000000001,,52.58527219553928,10.564828000000002,,,,,
2011-10-18,18.946306,,37.31200863433912,20.581628,,,,,
2011-10-19,45.02560607692308,,55.7980083503937,13.939979999999998,,,,,
2011-10-20,17.922764923076922,,45.058976,10.20529,,,,,
2011-10-21,46.520961,,42.165428,19.368669,,,,,
2011-10-22,13.637180584615386,,44.487048,1.278987,,,,,
2011-10-23,10.050155415384616,,32.899809000000005,,,,,,
2011-10-24,13.036423000000001,,43.802643,10.865645,,,,,
2011-10-25,36.913503000000006,,50.70357175,5.5204640000000005,,,,,
2011-10-26,27.173063999999997,,60.53672125,1.474404,,,,,
2011-10-27,17.094515,,60.80489733333334,,,,,,
2011-10-28,38.638317,,72.35383466666667,13.648854,,,,,
2011-10-29,9.22011,,25.015302,9.565186,,,,,
2011-10-30,11.233711,,25.455541692307694,11.038768000000001,,,,,
2011-10-31,18.47503,,54.62193130769231,2.81227,,,,,
2011-11-01,24.676934,,42.812897,8.376494,,,,,
2011-11-02,29.116753000000003,,35.24411915384616,,,,,,
2011-11-03,19.09285,,51.40521638273921,11.484503,,,,,
2011-11-04,37.81278522994653,,43.628732463414636,,,,,,
2011-11-05,18.395323770053476,,39.705102,7.924726000000001,,,,,
2011-11-06,35.076127,,40.954842,9.746609,,,,,
2011-11-07,10.061405,,31.718843611764704,,,,,,
2011-11-08,11.241423000000001,,60.0269253882353,10.687433999999998,,,,,
2011-11-09,27.197792,,59.29383392369478,18.878253,,,,,
2011-11-10,51.139851,,39.86053307630522,16.530309000000003,,,,,
2011-11-11,12.088098,,61.639553,10.382624,,,,,
2011-11-12,7.131128000000001,,54.054452,16.184903000000002,,,,,
2011-11-13,23.539630965665236,,24.315162,,,,,,
2011-11-14,10.431794034334764,,41.750537,9.152287,,,,,
2011-11-15,8.546498,,37.89008745614035,2.811498,,,,,
2011-11-16,20.913927,,28.76486750682261,22.910257,,,,,
2011-11-17,17.110847,,41.273794037037035,11.456033,,,,,
2011-11-18,19.515061000000003,,60.19334394174758,14.403217,,,,,
2011-11-19,12.040477000000001,,44.00261883759515,11.71033,,,,,
2011-11-20,20.451889574468087,,56.13644022065728,12.313765999999998,,,,,
2011-11-21,43.683940425531915,,60.340512999999994,4.477306,,,,,
2011-11-22,8.780913,,30.805655,3.481848,,,,,
2011-11-23,17.171008,,30.906358,5.510502,,,,,
2011-11-24,,,10.146242212290502,,,,,,
2011-11-25,1.778934,,34.352136164332876,6.226124,,,,,
2011-11-26,19.100416,,23.350839623376622,5.809645,,,,,
2011-11-27,,,22.453958975609755,5.880527,,,,,
2011-11-28,13.73852,,34.9861752836495,9.864023,,,,,
2011-11-29,11.038736,,44.78614474074074,9.798680000000001,,,,,
2011-11-30,40.20581,,66.00222590625,13.503864,,,,,
2011-12-01,35.86896,,57.73456104555723,1.837035,,,,,
2011-12-02,29.513303,,71.25380614896797,17.719368,,,,,
2011-12-03,,,39.4417588992248,14.10524,,,,,
2011-12-04,7.159354,,18.551806000000003,9.137551,,,,,
2011-12-05,20.128552,,47.48091423880597,14.853271,,,,,
2011-12-06,21.674891,,81.01926890873501,26.24588,,,,,
2011-12-07,17.426506470588237,,53.43809955188098,9.982267,,,,,
2011-12-08,17.548970529411765,,74.59330130057803,13.077495,,,,,
2011-12-09,31.924523,,71.64236035,16.929962,,,,,
2011-12-10,15.75407,,12.256703898407643,9.28959,,,,,
2011-12-11,8.139627,,56.30023575159235,,,,,,
2011-12-12,16.531511402877697,,53.93329573550725,13.867246999999999,,,,,
2011-12-13,41.27070360651197,,85.13568526449275,18.44270188372093,,,,,
