,station_name,start_date,end_date,missing_days_count,total_days_per_station,missing_days_percentage
0,HAMILTON,2011-07-29,2020-11-04,13,3387,0.3838204901092412
1,HIGH,2011-09-02,2020-12-31,56,3409,1.642710472279261
2,BRYANT,2011-10-10,2020-12-31,39,3371,1.156926727973895
3,MPL,2014-09-24,2020-12-31,20,2291,0.8729812309035356
4,RINCONADA LIB,2015-01-02,2020-07-05,5,2012,0.2485089463220676
5,WEBSTER,2015-07-29,2020-12-31,8,1983,0.4034291477559254
6,CAMBRIDGE,2016-01-14,2020-12-31,9,1814,0.4961411245865491
7,TED THOMPSON,2016-01-14,2020-12-31,17,1814,0.9371554575523704
8,SHERMAN,2020-12-09,2020-12-31,4,23,17.391304347826086
