,station_name,start_date,end_date,missing_days_count,total_days_per_station,missing_days_percentage
0,1500 Pearl St,2018-01-06,2023-11-30,556,2155,25.80046403712297
1,1360 Gillaspie Dr,2018-01-15,2023-11-30,427,2146,19.89748369058714
2,900 Walnut St,2018-01-16,2023-09-22,417,2076,20.08670520231214
3,1100 Spruce St,2018-01-25,2023-11-30,577,2136,27.013108614232213
4,1100 Walnut St,2018-04-06,2023-11-30,453,2065,21.937046004842614
5,3172 Broadway,2018-08-22,2023-11-30,97,1927,5.033731188375714
