,start_date,1100 Spruce St,1100 Walnut St,1360 Gillaspie Dr,1500 Pearl St,3172 Broadway,900 Walnut St
126,2018-05-07,29.356,101.67000000000002,7.446,48.468,,8.78
127,2018-05-08,,81.26,,,,13.684000000000001
128,2018-05-09,0.278,85.602,,36.5,,
129,2018-05-10,,62.321999999999996,6.914,15.104000000000001,,27.8
130,2018-05-11,,80.086,9.394,11.96,,42.056000000000004
131,2018-05-12,60.894,65.65,,55.361999999999995,,38.118
132,2018-05-13,57.04,31.942,29.736000000000004,42.834,,38.866
133,2018-05-14,,73.568,18.346,4.638,,3.736
134,2018-05-15,21.554,102.986,27.394000000000002,,,21.578
135,2018-05-16,,57.5,36.018,5.422,,65.514
136,2018-05-17,43.692,77.966,49.022000000000006,13.902,,37.058
137,2018-05-18,19.088,57.446,64.134,17.576,,26.362000000000002
138,2018-05-19,55.302,47.396,,36.016,,61.946
139,2018-05-20,38.556,20.444,9.154,29.131999999999998,,7.51
140,2018-05-21,17.258,120.208,35.589999999999996,,,19.068
141,2018-05-22,,82.222,26.701999999999998,17.118000000000002,,34.726
142,2018-05-23,11.228,63.724000000000004,25.526,16.15,,26.61
143,2018-05-24,89.47,55.798,73.468,14.168,,
144,2018-05-25,38.504,69.44200000000001,36.08,,,
145,2018-05-26,34.013999999999996,82.448,9.55,27.118000000000002,,86.842
146,2018-05-27,,39.014,72.426,40.104,,90.2890099009901
147,2018-05-28,16.677999999999997,26.15,,7.28,,90.89699009900988
148,2018-05-29,,53.574,10.412,5.78,,13.274
149,2018-05-30,,53.995999999999995,33.186,28.188,,87.272
150,2018-05-31,11.41,78.03999999999999,,11.79,,35.806
151,2018-06-01,21.322,90.356,24.683999999999997,36.638,,17.704
152,2018-06-02,27.014000000000003,48.8,44.6,94.62,,16.24
153,2018-06-03,58.178,39.532,,,,38.52
154,2018-06-04,,58.257999999999996,17.994,19.408,,4.508
155,2018-06-05,15.61,98.932,,13.388,,43.608
156,2018-06-06,43.346000000000004,31.225999999999996,11.772,16.344,,96.002
157,2018-06-07,17.546,39.534,34.108000000000004,,,80.346
158,2018-06-08,27.557999999999996,82.752,46.338,62.956,,75.63000000000001
159,2018-06-09,,59.202,25.592,74.088,,8.514
160,2018-06-10,,20.992,50.602000000000004,,,25.060000000000002
161,2018-06-11,11.886,50.766,40.646,11.566,,34.584
162,2018-06-12,,48.662,18.86,17.172,,
163,2018-06-13,,86.884,4.084,16.304,,102.188
164,2018-06-14,48.116,8.592,32.458,44.623999999999995,,53.9
165,2018-06-15,,42.025999999999996,21.96,4.4,,69.608
166,2018-06-16,16.878,4.64,30.886000000000003,6.992,,85.4
167,2018-06-17,24.042,7.646,6.543999999999999,8.374,,58.238
168,2018-06-18,11.658,16.302,67.938,9.298,,9.462
169,2018-06-19,63.133999999999986,39.924,21.492,14.118,,119.19000000000001
170,2018-06-20,25.814,11.248,30.126,16.188000000000002,,102.38199999999999
171,2018-06-21,30.352,43.984,17.206000000000003,,,62.126
172,2018-06-22,45.928,0.052,26.852,,,32.622
173,2018-06-23,24.554000000000002,43.402,23.718,67.94800000000001,,74.364
174,2018-06-24,32.03,,8.556000000000001,38.76,,51.528000000000006
175,2018-06-25,11.356,24.938,20.018,,,148.694
176,2018-06-26,41.611999999999995,36.768,20.288,27.006,,65.16400000000002
177,2018-06-27,,38.424,38.176,51.004000000000005,,58.160000000000004
178,2018-06-28,19.61,35.99,33.606,11.844,,59.502
179,2018-06-29,31.019999999999996,49.492000000000004,30.772000000000002,49.012,,11.672
180,2018-06-30,96.248,14.844,4.786,39.826,,26.409999999999997
181,2018-07-01,17.352,31.772000000000002,39.812,34.402,,27.34
182,2018-07-02,24.106,12.824,17.644,10.96,,46.43000000000001
183,2018-07-03,,34.442,9.248,5.08,,
184,2018-07-04,,14.966,32.814,21.676,,24.422
185,2018-07-05,24.15,,25.204,5.548,,26.27
186,2018-07-06,48.808,,11.756,25.41,,99.61676635514019
187,2018-07-07,,31.924,6.066,18.387999999999998,,58.27723364485981
188,2018-07-08,67.298,30.972,28.388,58.391999999999996,,
